STOCK_CODE,MNEMONIC,PART_NUMBER,PN Global,ITEM_NAME,STOCK_TYPE District,CLASS,HOME_WH,UOI,ISSUING PRICE,PRICE_CODE
159087,KOMATSU,566-22-13170,566-22-13170,JOINT,S,G,UTVH,EACH,0,FP
159228,KOMATSU,195-03-55260,195-03-55260,HOSE,S,G,UTVH,EACH,0,FP
159301,KOMATSU,234-60-14281,234-60-14181,ELBOW,S,G,UTVH,EACH,0,
159319,KOMATSU,21T-72-76510,21T-72-76510,HOSE,S,G,UTVH,EACH,0,FP
159327,KOMATSU,175-30-55150,175-30-55150,"COVER,LH",S,G,UTVH,EACH,0,FP
159335,KOMATSU,175-30-55160,175-30-55160,"COVER,RH",S,G,UTVH,EACH,0,FP
159343,KOMATSU,04050-14025,04050-14025,"PIN,COTTER",S,G,UTVH,EACH,0,FP
159368,KOMATSU,203-62-58370,203-62-58370,HOSE,S,G,UTVH,EACH,0,FP
159376,KOMATSU,07102-20435,07102-20435,HOSE,S,G,UTVH,EACH,0,FP
159384,KOMATSU,07102-20336,07102-20336,HOSE,S,G,UTVH,EACH,0,FP
159392,KOMATSU,205-62-53780,205-62-53780,COVER,S,G,UTVH,EACH,0,FP
159400,KOMATSU,175-78-61261,175-78-61261,BUSHING,S,G,UTVH,EACH,0,FP
159418,KOMATSU,175-78-61281,175-78-61281,SEAL,S,G,UTVH,EACH,0,FP
159426,KOMATSU,175-78-61271,175-78-61271,BUSHING,S,G,UTVH,EACH,0,FP
159434,KOMATSU,175-78-61171,175-78-61171,PIN,S,G,UTVH,EACH,0,FP
159442,KOMATSU,175-78-21693,175-78-21693,ADAPTER,S,G,UTVH,EACH,0,FP
159459,KOMATSU,175-78-61161,175-78-61161,PIN,S,G,UTVH,EACH,0,FP
159467,KOMATSU,175-06-71134,175-06-71134,"WIRING,HARNESS",S,G,UTVH,EACH,0,FP
159475,KOMATSU,08041-01500,08041-01500,"FUSE, PLAT 15A -P",S,G,UTVH,EACH,1045.55,FP
159483,KOMATSU,205-06-73180,205-06-73180,"FUSE,15A",S,G,UTVH,EACH,0,FP
159491,KOMATSU,08041-02000,08041-02000,"FUSE, PLAT ,20A -P",G,G,UTVH,EACH,929.95,FP
159509,KOMATSU,07000-33040,07000-33040,O-RING,S,G,UTVH,EACH,0,FP
159517,KOMATSU,07260-21410,07260-21410,HOSE,S,G,UTVH,EACH,0,FP
159525,KOMATSU,175-911-8521,175-911-8521,HOSE,S,G,UTVH,EACH,0,FP
159533,KOMATSU,175-911-8230,175-911-8230,HOSE,S,G,UTVH,EACH,0,FP
159541,KOMATSU,154-911-1150,154-911-1150,HOSE,S,G,UTVH,EACH,0,FP
159558,KOMATSU,154-911-1140,154-911-1140,HOSE,S,G,UTVH,EACH,0,FP
159566,KOMATSU,195-Z11-2520,195-Z11-2520,SEAT,S,G,UTVH,EACH,0,FP
159574,KOMATSU,195-Z11-2530,195-Z11-2530,SEAT,S,G,UTVH,EACH,0,FP
159582,KOMATSU,195-61-41260,195-61-41260,BEARING,S,G,UTVH,EACH,0,FP
159590,KOMATSU,175-60-29160,175-60-29160,HOSE,S,G,UTVH,EACH,0,
159608,KOMATSU,07118-01225,07118-01225,HOSE,S,G,UTVH,EACH,0,FP
159616,KOMATSU,175-21-47181,175-21-47181,GASKET,S,G,UTVH,EACH,0,FP
159624,KOMATSU,799-401-2390,799-401-2390,HOSE,S,G,UTVH,EACH,0,FP
159632,KOMATSU,22D-62-18560,22D-62-18560,BOLT,S,G,UTVH,EACH,0,FP
159707,KOMATSU,7823-15-1004,7823-15-1004,CONTROLLER,S,G,UTVH,EACH,27782735.21,FP
159715,PATRIA,B-1610-10825,B-1610-10825,WASHER SPRING,S,P,SPUT,EACH,0,
159889,KOMATSU,07089-01010,07089-01010,HOSE,S,G,UTVH,EACH,1405825.24,FP
159897,KOMATSU,07083-01410,07083-01410,HOSE,S,G,UTVH,EACH,0,
159905,KOMATSU,21N-30-34120,21N-30-34120,PLUNGER,S,G,UTVH,EACH,0,FP
159913,KOMATSU,426-815-1520,426-815-1520,"EDGE, SIDE",S,G,UTVH,EACH,0,FP
159921,KOMATSU,ND949013-5880,ND949013-5880,Washer,S,G,UTVH,EACH,0,FP
159939,KOMATSU,ND92156-08081,ND92156-08081,NUT,S,G,UTVH,EACH,0,FP
159947,KOMATSU,ND949180-0310,ND949180-0310,SCREW,S,G,UTVH,EACH,0,FP
159954,KOMATSU,ND090244-0010,ND090244-0010,SCREW,S,G,UTVH,EACH,0,FP
159962,KOMATSU,792-610-1101,792-610-1101,PUMP ASSY,S,G,UTVH,EACH,0,FP
159970,SCANIA,1723519,1723519,MIRROR,S,G,UTVH,EACH,0,FP
159988,SCANIA,1421090,1421090,RESERVOIR TANK,S,G,UTVH,EACH,0,
160028,KOMATSU,566-40-42760,566-40-42760,PLATE,S,G,UTVH,EACH,0,FP
160036,KOMATSU,569-40-42770,569-40-63410,ROTOR ASSY,S,G,UTVH,ASSY,0,
160051,KOMATSU,232-855-1870,232-855-1870,LOCK,S,G,UTVH,EACH,2509336.1,FP
160069,KOMATSU,232-950-3220,232-950-3220,ROD,S,G,UTVH,EACH,0,FP
160077,KOMATSU,232-950-3230,232-950-3230,"ROD,RH",S,G,UTVH,EACH,0,FP
160085,KOMATSU,232-855-1841,232-855-1841,LEVER,S,G,UTVH,EACH,0,FP
160093,KOMATSU,232-855-1940,232-855-1940,LEVER LH,S,G,UTVH,EACH,0,FP
160127,KOMATSU,02782-10630,02782-10630,ELBOW,S,G,UTVH,EACH,0,FP
160200,KOMATSU,230-03-11470,230-03-11470,STRAINER,S,G,UTVH,EACH,157309.42,FP
160218,KOMATSU,201-60-12191,201-60-12191,CAP ASSY,S,G,UTVH,EACH,235067.26,FP
160226,KOMATSU,234-40-62220,234-40-62220,TEE,S,G,UTVH,EACH,0,FP
160259,KOMATSU,195-57-46200,195-57-46200,SEAT ASSY,S,G,UTVH,EACH,0,FP
160291,KOMATSU,07332-62400,07332-62400,CLAMP,S,G,UTVH,EACH,0,
160309,KOMATSU,702-16-01682,702-16-01682,PILOT VALVE,S,G,UTVH,EACH,0,FP
160317,KOMATSU,421-56-21430,421-56-21430,PAD  LH,S,G,UTVH,EACH,1419439.58,FP
160325,KOMATSU,423-56-21260,423-56-21260,ROD,S,G,UTVH,EACH,0,FP
160333,KOMATSU,Duplikasi Pref,Duplikasi Pref,HANDLE LH DOOR,S,G,UTVH,EACH,0,FP
160341,SCANIA,1732509,1732509,WORK LAMP ASSY,S,G,UTVH,EACH,1469260.7,FP
160358,SCANIA,2354273,2354273,HEAD FILTER ASSY,S,G,UTVH,EACH,0,FP
160366,KOMATSU,569-43-83171,569-43-83171,VALVE PROPORTIONAL,S,G,UTVH,EACH,0,
160515,VOLVOPM,20852765,20852765,GASKET,S,P,SPUT,EACH,36230,FP
160606,KOMATSU,07114-01409,07114-01409,HOSE,S,G,UTVH,EACH,0,FP
160614,KOMATSU,07102-20316,07102-20316,HOSE,S,G,UTVH,EACH,0,FP
160630,KOMATSU,150-33-12171,150-33-12171,SPRING,S,G,UTVH,EACH,0,FP
160648,KOMATSU,195-63-94170,195-63-94170,SEAL DUST,S,G,UTVH,EACH,0,FP
160655,KOMATSU,6162-15-1610,6162-15-1610,"BOLT,HEAD",S,G,UTVH,EACH,0,FP
160663,KOMATSU,6162-13-1620,6162-13-1620,Washer,S,G,UTVH,EACH,0,FP
160671,KOMATSU,6162-13-1812,6162-13-1812,"GASKET,HEAD",S,G,UTVH,EACH,0,FP
160689,KOMATSU,6162-13-1820,6162-13-1820,"GROMMET,OIL",S,G,UTVH,EACH,0,FP
160697,KOMATSU,6162-13-1832,6162-13-1832,"GROMMET,WATER",S,G,UTVH,EACH,0,FP
160705,KOMATSU,6162-13-1840,6162-13-1840,"GROMMET,OIL",S,G,UTVH,EACH,0,FP
160713,KOMATSU,6162-13-1851,6162-13-1851,"GROMMET,WATER",S,G,UTVH,EACH,0,FP
160721,KOMATSU,14X-911-7802,14X-911-7802,CONDENSER ASSY,S,G,UTVH,EACH,0,FP
160739,KOMATSU,262-60-58280,262-60-58280,ELBOW,S,G,UTVH,EACH,611211.57,FP
160747,KOMATSU,07002-53634,07002-53634,O-RING,S,G,UTVH,EACH,0,FP
160754,KOMATSU,KDO-47100-4830,KDO-47100-4830,MAGNETIC SWITCH,S,G,UTVH,EACH,2500000,
160762,PATRIA,08491603033500A,08491603033500A,OIL CONTROL,S,P,SPUT,EACH,0,
160770,TADANO,349-300-90500,349-300-90500,LAMP COMBINATION,S,P,SPUT,EACH,0,
160788,TADANO,349-300-90600,349-300-90600,LAMP COMBINATION,S,P,SPUT,EACH,0,
160796,TADANO,821-000-02563,821-000-02563,LAMP LICENSI,S,P,SPUT,EACH,0,
160804,TADANO,349-300-90300,349-300-90300,LAMP COMBINATION,S,P,SPUT,EACH,571428.57,
160812,TADANO,349-300-90400,349-300-90400,LAMP COMBINATION,S,P,SPUT,EACH,607142.86,
160838,TADANO,349-300-90100,349-300-90100,LAMP ASSY,S,P,SPUT,ASSY,0,
160846,TADANO,821-000-00057,821-000-00057,BULB 24V 25W,S,P,SPUT,EACH,0,
160853,TADANO,349-300-97680,349-300-97680,BULB 24V 21W,S,P,SPUT,EACH,0,
160861,KOMATSU,569-50-8T402,569-50-8T402,FRONT SUSPENSI,S,G,UTVH,EACH,0,FP
160879,KOMATSU,569-50-8T203,569-50-8T203,REAR SUSPENSI,S,G,UTVH,EACH,0,FP
160887,TADANO,349-300-97690,349-300-97690,BULB 24V 3W,S,P,SPUT,EACH,22421.53,NM
160895,TADANO,821-000-00783,821-000-00783,BULB 24V 12W,S,P,SPUT,EACH,41255.61,
160903,TADANO,349-300-97630,349-300-97630,BULB 24V 25W,S,P,SPUT,EACH,40358.75,NM
160911,TADANO,349-300-97640,349-300-97640,BULB 24V 10/4W,S,P,SPUT,EACH,66367.72,
160929,TADANO,349-300-97510,349-300-97510,LAMP ASSY,S,P,SPUT,ASSY,0,
160937,TADANO,349-300-97520,349-300-97520,LAMP ASSY,S,P,SPUT,ASSY,0,
160945,TADANO,349-300-97530,349-300-97530,LAMP 24V 55W,S,P,SPUT,EACH,1454170.41,NM
160952,TADANO,349-300-97570,349-300-97570,LAMP 24V 50/65W,S,P,SPUT,EACH,1454170.41,NM
160960,KOMATSU,154-04-12480,154-04-12480,NIPPLE,S,G,UTVH,EACH,0,FP
160978,KOMATSU,07285-00130,07285-00130,CLIP,S,G,UTVH,EACH,0,FP
160986,KOMATSU,07270-01260,Duplikasi Pref,TUBE,S,G,UTVH,EACH,0,FP
160994,KOMATSU,07099-41028,07099-41028,HOSE,S,G,UTVH,EACH,0,FP
161000,KOMATSU,07099-41027,07099-41027,HOSE,S,G,UTVH,EACH,0,FP
161018,KOMATSU,209-63-02342,209-63-02342,CYL BUCKET ASSY,S,G,UTVH,EACH,0,
161026,KOMATSU,707-01-0A510,707-01-0A510,CYL BOOM ASSY,S,G,UTVH,EACH,0,FP
161075,KOMATSU,425-06-22711,425-06-22711,FUSE BOX ASSY,S,G,UTVH,EACH,1600533.81,FP
161083,KOMATSU,426-06-22423,426-06-22423,WIRING HARNESS,S,G,UTVH,EACH,11063548.7,FP
161109,KOMATSU,KD0-47100-4651,KD0-47100-4651,MAGNETIC SWITCH,S,G,UTVH,EACH,5610762.33,
161141,KOMATSU,02896-61018,02896-61018,O-RING,S,G,UTVH,EACH,0,FP
161158,KOMATSU,195-911-7230,195-911-7230,TUBE,S,G,UTVH,EACH,0,FP
161166,KOMATSU,799-401-2550,799-401-2550,HOSE,S,G,UTVH,EACH,0,FP
161174,KOMATSU,799-401-2430,799-401-2430,HOSE,S,G,UTVH,EACH,0,FP
161190,SCANIA,1526571,1526571,HOSE ASSEMBLY,S,G,UTVH,EACH,385405.41,FP
161208,KOMATSU,KD0-25000-8810,KD0-25000-8810,SAFETY RELAY,S,G,UTVH,EACH,0,FP
161224,KOMATSU,195-911-1722,195-911-1722,FLASK,S,G,UTVH,EACH,0,FP
161265,KOMATSU,195-03-18680,195-03-18680,HOSE,S,G,UTVH,EACH,0,FP
161273,KOMATSU,195-03-11981,195-03-11981,GASKET,S,G,UTVH,EACH,0,FP
161281,KOMATSU,175-03-71540,175-03-71540,HOSE,S,G,UTVH,EACH,0,FP
161299,KOMATSU,234-63-76640,234-63-76640,CYLINDER,S,G,UTVH,EACH,0,FP
161307,KOMATSU,700-13-31161,700-13-31161,O-RING,S,G,UTVH,EACH,39750.45,FP
161315,KOMATSU,07001-02020,07001-02020,"RING, BACK UP",S,G,UTVH,EACH,38413.55,FP
161323,KOMATSU,705-17-04010,705-17-04010,BRACKET,S,G,UTVH,EACH,6440677.97,FP
161380,KOMATSU,07119-01012,07119-01012,HOSE,S,G,UTVH,EACH,0,FP
161406,KOMATSU,07000-33042,07000-33042,O-RING,S,G,UTVH,EACH,0,FP
161414,KOMATSU,07000-13055,07000-13055,O-RING,S,G,UTVH,EACH,0,FP
161430,SCANIA,1857591,1857591,DORR STOP,S,G,UTVH,EACH,726510.37,FP
161448,SCANIA,815472,815472,SCREW,S,G,UTVH,EACH,6311.99,FP
161455,SCANIA,815543,815543,NUT,S,G,UTVH,EACH,2522.52,FP
161463,SCANIA,1530766,1530766,SEAL,S,G,UTVH,EACH,71686.21,FP
161471,SCANIA,1425659,1425659,CRANK WINDOW,S,G,UTVH,EACH,143372.41,FP
161513,TADANO,349-300-97810,349-300-97810,LAMP,S,P,SPUT,EACH,479170.43,NM
161521,TADANO,349-300-97540,349-300-97540,RING,S,P,SPUT,EACH,479170.43,NM
161539,TADANO,349-300-97550,349-300-97550,RETAINER 1,S,P,SPUT,EACH,410820.56,NM
161547,TADANO,349-300-97560,349-300-97560,"SCREW,TAPPING",S,P,SPUT,EACH,41118.12,
161562,TADANO,349-300-97820,349-300-97820,LAMP,S,P,SPUT,EACH,0,
161588,KOMATSU,6218-71-1112,6218-71-1112,FUEL PUMP ASSY,S,G,UTVH,EACH,0,FP
161596,KOMATSU,ND094110-0230,ND094110-0230,HOUSING ASSY,S,G,UTVH,EACH,0,FP
161604,SCANIA,1306492,1306492,GAS SPRING,S,G,UTVH,EACH,0,FP
161612,SCANIA,1369553,1369553,GAS SPRING,S,G,UTVH,EACH,0,FP
161620,SCANIA,1385220,1385220,BALL PIN,S,G,UTVH,EACH,0,FP
161638,SCANIA,1435085,1435085,LAMP GUARD,S,G,UTVH,EACH,0,FP
161646,SCANIA,1435086,1435086,LAMP GUARD,S,G,UTVH,EACH,0,FP
161828,PATRIA,3-VH009-0001,3-VH009-0001,OIL LEVEL,S,P,SPUT,EACH,373333,
161836,PATRIA,VHHR01-20001,VHHR01-20001,GEAR PUMP,S,P,SPUT,ASSY,5017953.32,
161869,KOMATSU,02765-00310,02765-00310,HOSE ASSY,S,G,UTVH,ASSY,0,FP
161935,KOMATSU,6217-81-6840,6217-81-6840,BOLT,S,G,UTVH,EACH,0,FP
161943,KOMATSU,6732-81-8860,6732-81-8860,O-RING,S,G,UTVH,EACH,0,FP
161950,KOMATSU,6735-21-4160,6735-21-4160,O-RING,S,G,UTVH,EACH,0,FP
161976,KOMATSU,561-50-61331,561-50-61331,PLATE,S,G,UTVH,EACH,0,FP
161984,KOMATSU,569-50-61240,569-50-61240,PLATE,S,G,UTVH,EACH,0,FP
161992,KOMATSU,569-50-61250,569-50-61250,PLATE,S,G,UTVH,EACH,0,FP
162008,KOMATSU,569-50-61260,569-50-61260,PLATE,S,G,UTVH,EACH,0,FP
162016,KOMATSU,Duplikasi Pref,Duplikasi Pref,UNIT SUB ASSY,S,G,UTVH,ASSY,0,FP
162024,KOMATSU,99U12501B0,99U12501B0,SHOE BOLT KIT,S,G,UTVH,KIT,0,
162032,KOMATSU,569-20-72300,569-20-72300,SHAFT AND YOKE,S,G,UTVH,KIT,0,FP
162073,KOMATSU,KD1-35921-0010,KD1-35921-0010,Washer,S,G,UTVH,EACH,0,FP
162081,KOMATSU,600-825-9311,600-825-9311,ALTERNATOR ASSY,S,G,UTVH,ASSY,0,
162099,KOMATSU,175-78-62480,175-78-62480,HOSE,S,G,UTVH,EACH,0,FP
162107,VOLVOPM,20588326,20588326,DOOR LATCH RH,S,P,SPUT,EACH,1843236.71,FP
162115,VOLVOPM,994446,994446,FLANGE SCREW,S,P,SPUT,EACH,6486.49,FP
162131,KOMATSU,6210-81-6390,6210-81-6390,BOLT,S,G,UTVH,KIT,0,FP
162164,KOMATSU,07113-00325,07113-00325,HOSE,S,G,UTVH,EACH,0,FP
162172,MANITOU,476784,476784,SEAL KIT,S,P,SPUT,EACH,884790,FP
162198,MANITOU,563329,563329,OLIVE,S,P,SPUT,EACH,16020,FP
162206,MANITOU,138141,138141,NUT,S,P,SPUT,EACH,43200,FP
162214,MANITOU,563337,563337,PIPE,S,P,SPUT,EACH,1115370,FP
162222,MANITOU,138195,138195,Washer,S,P,SPUT,EACH,49950,FP
162230,MANITOU,128592,128592,GLASS BOWL,S,P,SPUT,EACH,354960,FP
162255,MANITOU,209310,209310,HOUSING,S,P,SPUT,EACH,3700000,FP
162321,KOMATSU,799-401-2320,799-401-2320,GAUGE,S,G,UTVH,EACH,0,FP
162339,KOMATSU,799-201-1120,799-201-1120,TOOL,S,G,UTVH,EACH,0,FP
